character,state,probability
r0,10,0.001056
r0,11,0.244984
r0,12,0.335797
r0,13,0.001056
r0,14,0.004224
r0,15,0.568110
r0,16,0.221753
r0,17,0.344245
r0,18,0.013728
r0,19,0.001056
r0,2,0.447730
r0,20,0.001056
r0,3,0.016895
r0,4,0.001056
r0,5,0.643083
r0,6,0.345301
r0,7,0.279831
r0,8,0.013728
r0,9,0.003168
r1,10,0.198522
r1,100,0.014784
r1,101,0.022175
r1,102,0.055966
r1,103,0.012672
r1,104,0.072862
r1,105,0.010560
r1,106,0.001056
r1,107,0.001056
r1,108,0.026399
r1,109,0.002112
r1,11,0.275607
r1,110,0.017951
r1,111,0.023231
r1,112,0.014784
r1,113,0.001056
r1,12,0.128828
r1,13,0.368532
r1,14,0.001056
r1,15,0.004224
r1,16,0.001056
r1,17,0.218585
r1,18,0.059134
r1,19,0.015839
r1,2,0.398099
r1,20,0.058078
r1,21,0.178458
r1,22,0.373812
r1,23,0.004224
r1,24,0.116156
r1,25,0.029567
r1,26,0.017951
r1,27,0.097149
r1,28,0.237592
r1,29,0.104541
r1,3,0.727561
r1,30,0.022175
r1,31,0.129884
r1,32,0.077086
r1,33,0.162619
r1,34,0.003168
r1,35,0.435058
r1,36,0.095037
r1,37,0.220697
r1,38,0.232313
r1,39,0.322070
r1,4,0.001056
r1,40,0.017951
r1,41,0.168955
r1,42,0.032735
r1,43,0.004224
r1,44,0.299894
r1,45,0.183738
r1,46,0.001056
r1,47,0.004224
r1,48,0.001056
r1,49,0.002112
r1,5,0.344245
r1,50,0.161563
r1,51,0.059134
r1,52,0.001056
r1,53,0.001056
r1,54,0.028511
r1,55,0.085533
r1,56,0.001056
r1,57,0.001056
r1,58,0.014784
r1,59,0.042239
r1,6,0.168955
r1,60,0.002112
r1,61,0.058078
r1,62,0.003168
r1,63,0.003168
r1,64,0.004224
r1,65,0.004224
r1,66,0.030623
r1,67,0.005280
r1,68,0.095037
r1,69,0.002112
r1,7,0.025343
r1,70,0.003168
r1,71,0.060190
r1,72,0.024287
r1,73,0.002112
r1,74,0.119324
